,Al-Qaeda in the Islamic Maghreb (AQIM),Ansaru,Movement for Unity and Jihad in West Africa (Mujao),Abu Muhammad Faction,Abu Muhammed Shura,Nigerian Taliban,Harakat Ansar al-Dine,All Nigeria People's Party,Congress for Progressive Change (CPC),Abubakar Shekau Faction,Abubakar Shekau's Shura,BH Shurra Committee,Albarnawai Kidnapping Squad,Nigerian Taliban Shura,Katibat al-Mulathimin,al-Murabitun,Taliban,Mamman Nur Faction,Al-Qaeda,Central Mosque in Douala, Camaroon,Al-Shabaab
Nigerian2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigerian3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigerian5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olusegun Obasanjo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Omar Abdul Mutallab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qays Ubayd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raboji Garba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisu Al Jasawy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salisu Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sambo Dasuki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shaykh Ibrahim Mbombo Mubarak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shehu Ladan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shehu Sani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suleiman Ahmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulieman Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tukur Ahmed Mohammed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umar Farouk Abdulmutallab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umar Fulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Umar Mohammed Jundugu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yusuf Abdullahi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zakariyya Zubeidi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
